id,price
0,2444.8755
1,5219.378
2,8262.391
3,3664.279
4,1496.0786
5,5328.1084
6,4809.383
7,3733.348
8,4600.022
9,14104.986
10,4739.7363
11,857.6523
12,2796.5654
13,1576.51
14,2207.2336
15,1133.663
16,1535.6442
17,3578.887
18,3495.1597
19,1000.1235
20,1847.7173
21,4766.356
22,2940.4143
23,705.3977
24,14982.488
25,1018.34064
26,916.8834
27,961.11035
28,1608.6526
29,1096.3759
30,8702.178
31,805.42725
32,3813.132
33,1171.3392
34,781.0838
35,2208.4006
36,4376.0234
37,2015.0023
38,2324.2761
39,751.24084
40,596.88855
41,8471.098
42,967.5904
43,1576.3384
44,9227.06
45,2079.477
46,907.86005
47,902.8366
48,1059.3533
49,2607.5383
50,1122.1996
51,4166.2954
52,2546.8848
53,6041.4717
54,5448.8833
55,2011.5764
56,8617.703
57,2291.137
58,3594.513
59,2871.7703
60,1104.6667
61,630.52014
62,6375.7246
63,1494.0494
64,8080.8213
65,16406.875
66,996.90656
67,9800.902
68,4886.4307
69,8912.123
70,899.7014
71,800.45013
72,1063.1255
73,1171.1273
74,4461.475
75,1868.0695
76,8906.131
77,12994.717
78,2387.8816
79,6100.444
80,10543.1045
81,1864.2577
82,12650.618
83,6816.5483
84,960.081
85,6486.025
86,1106.4608
87,11604.448
88,7641.367
89,13036.327
90,4455.2896
91,1533.3397
92,1473.6191
93,921.968
94,14517.359
95,643.8969
96,13732.75
97,13062.971
98,11680.561
99,752.46844
100,2339.862
101,814.9139
102,712.64844
103,552.1199
104,1075.0979
105,1593.5737
106,1168.9626
107,882.1702
108,1072.4764
109,738.4972
110,625.18024
111,1060.325
112,1388.8715
113,1626.5154
114,1286.0411
115,4589.4795
116,4849.956
117,12833.119
118,566.468
119,14392.158
120,957.28
121,1576.0284
122,1001.71906
123,612.55804
124,1205.042
125,1190.4849
126,1142.142
127,12663.303
128,4837.282
129,4443.079
130,5528.4536
131,2297.599
132,6752.6484
133,1396.861
134,2567.3748
135,997.65765
136,732.5862
137,6592.4165
138,660.4531
139,3858.1504
140,1174.4603
141,878.1853
142,2854.553
143,3745.4285
144,843.96674
145,5991.2134
146,15775.081
147,4805.011
148,2207.7092
149,1363.5997
150,1804.8396
151,1627.6903
152,9132.699
153,2500.6553
154,642.69714
155,12386.51
156,2677.2532
157,2527.97
158,3122.678
159,886.80054
160,5994.276
161,9025.333
162,1187.4924
163,742.4979
164,4889.2783
165,10656.03
166,2754.859
167,4072.8862
168,2776.7336
169,8472.063
170,841.40894
171,1594.6019
172,4917.5864
173,2028.4252
